StasjonsNavn,date,MaalepunktID,Lat,Lon,PostKode,AarligForbruk,ForbruksVerdi,Temperatur
Europaveien10,2021-02-28,4.751426400284382e+20,39654.06144,6469.22304,2665824.0,17710560.0,2427.288,0.0
Europaveien10,2021-03-31,5.253437225314428e+20,43843.70186,7152.727260000001,2947481.0,19581765.0,2136.1,0.0
Europaveien10,2021-04-30,5.090814000304695e+20,42486.4944,6931.3104,2856240.0,18975600.0,1611.965,0.0
Europaveien10,2021-05-31,5.2605078003148515e+20,43902.71088,7162.35408,2951448.0,19608120.0,1491.481,0.0
Europaveien10,2021-06-30,5.090814000304695e+20,42486.4944,6931.3104,2856240.0,18975600.0,1116.802,0.0
Europaveien10,2021-07-31,5.2605078003148515e+20,43902.71088,7162.35408,2951448.0,19608120.0,1283.671,0.0
Europaveien10,2021-08-31,5.2605078003148515e+20,43902.71088,7162.35408,2951448.0,19608120.0,1720.262,0.0
Europaveien10,2021-09-30,4.751426400284382e+20,39654.06144,6469.22304,2665824.0,17710560.0,2073.21,0.0
Europaveien10,2021-10-31,5.097884575305118e+20,42545.50342,6940.937220000001,2860207.0,19001955.0,2772.919,0.0
Europaveien10,2021-11-30,4.921120200294538e+20,41070.27792,6700.2667200000005,2761032.0,18343080.0,3169.5190000000002,0.0
Europaveien10,2021-12-31,5.090814000304695e+20,42486.4944,6931.3104,2856240.0,18975600.0,2433.243,0.0
Europaveien11,2021-01-31,5.2605078003148515e+20,43906.1556,7174.41432,2951448.0,22592304.0,3451.606,0.0
Europaveien11,2021-02-28,4.751426400284382e+20,39657.1728,6480.11616,2665824.0,20405952.0,2752.083,0.0
Europaveien11,2021-03-31,5.253437225314428e+20,43847.14195,7164.77129,2947481.0,22561938.0,2504.392,0.0
Europaveien11,2021-04-30,5.090814000304695e+20,42489.828,6942.9816,2856240.0,21863520.0,2000.177,0.0
Europaveien11,2021-05-31,5.2605078003148515e+20,43906.1556,7174.41432,2951448.0,22592304.0,1892.4759999999999,0.0
Europaveien11,2021-06-30,5.090814000304695e+20,42489.828,6942.9816,2856240.0,21863520.0,1540.858,0.0
Europaveien11,2021-07-31,5.2605078003148515e+20,43906.1556,7174.41432,2951448.0,22592304.0,1707.35,0.0
Europaveien11,2021-08-31,5.2605078003148515e+20,43906.1556,7174.41432,2951448.0,22592304.0,2121.036,0.0
Europaveien11,2021-09-30,4.751426400284382e+20,39657.1728,6480.11616,2665824.0,20405952.0,2368.467,0.0
Europaveien11,2021-10-31,5.097884575305118e+20,42548.84165,6952.624629999999,2860207.0,21893886.0,3025.263,0.0
Europaveien11,2021-11-30,4.921120200294538e+20,41073.5004,6711.548879999999,2761032.0,21134736.0,3411.148,0.0
Europaveien11,2021-12-31,4.921120200294538e+20,41073.5004,6711.548879999999,2761032.0,21134736.0,2749.756,0.0
Europaveien2,2021-01-31,5.2605078003148515e+20,43908.80424,7184.07144,2951448.0,15538440.0,2454.058,0.0
Europaveien2,2021-02-28,4.751426400284382e+20,39659.56512,6488.83872,2665824.0,14034720.0,1910.392,0.0
Europaveien2,2021-03-31,5.253437225314428e+20,43849.78703,7174.41543,2947481.0,15517555.0,1698.469,0.0
Europaveien2,2021-04-30,5.090814000304695e+20,42492.3912,6952.3272,2856240.0,15037200.0,1292.809,0.0
Europaveien2,2021-05-31,5.2605078003148515e+20,43908.80424,7184.07144,2951448.0,15538440.0,1201.549,0.0
Europaveien2,2021-06-30,5.090814000304695e+20,42492.3912,6952.3272,2856240.0,15037200.0,906.039,0.0
Europaveien2,2021-07-31,5.2605078003148515e+20,43908.80424,7184.07144,2951448.0,15538440.0,1036.004,0.0
Europaveien2,2021-08-31,5.2605078003148515e+20,43908.80424,7184.07144,2951448.0,15538440.0,1372.145,0.0
Europaveien2,2021-09-30,4.751426400284382e+20,39659.56512,6488.83872,2665824.0,14034720.0,1640.039,0.0
Europaveien2,2021-10-31,5.097884575305118e+20,42551.40841,6961.98321,2860207.0,15058085.0,2196.032,0.0
Europaveien2,2021-11-30,4.921120200294538e+20,41075.97816,6720.58296,2761032.0,14535960.0,2522.881,0.0
Europaveien2,2021-12-31,4.921120200294538e+20,41075.97816,6720.58296,2761032.0,14535960.0,2099.938,0.0
Europaveien3,2021-01-31,5.2605078003148515e+20,43911.996,7195.5216,2951448.0,28421544.0,4496.105,0.0
Europaveien3,2021-02-28,4.751426400284382e+20,39662.448000000004,6499.1808,2665824.0,25671072.0,3494.145,0.0
Europaveien3,2021-03-31,5.253437225314428e+20,43852.974500000004,7185.8502,2947481.0,28383343.0,3084.882,0.0
Europaveien3,2021-04-30,5.090814000304695e+20,42495.48,6963.408,2856240.0,27504720.0,2358.861,0.0
Europaveien3,2021-05-31,5.2605078003148515e+20,43911.996,7195.5216,2951448.0,28421544.0,2196.92,0.0
Europaveien3,2021-06-30,5.090814000304695e+20,42495.48,6963.408,2856240.0,27504720.0,1657.934,0.0
Europaveien3,2021-07-31,5.2605078003148515e+20,43911.996,7195.5216,2951448.0,28421544.0,1901.765,0.0
Europaveien3,2021-08-31,5.2605078003148515e+20,43911.996,7195.5216,2951448.0,28421544.0,2525.544,0.0
Europaveien3,2021-09-30,4.751426400284382e+20,39662.448000000004,6499.1808,2665824.0,25671072.0,3011.375,0.0
Europaveien3,2021-10-31,5.097884575305118e+20,42554.501500000006,6973.0794000000005,2860207.0,27542921.0,4024.157,0.0
Europaveien3,2021-11-30,4.921120200294538e+20,41078.964,6731.2944,2761032.0,26587896.0,4606.589,0.0
Europaveien3,2021-12-31,5.090814000304695e+20,42495.48,6963.408,2856240.0,27504720.0,3181.942,0.0
Europaveien4,2021-06-30,5.090814000304695e+20,42481.1304,6915.556799999999,2856240.0,14801760.0,826.497,0.0
