date,ForbruksVerdi
2021-01-31,289996.0
2021-02-28,271189.0
2021-03-31,272658.0
2021-04-30,277453.0
2021-05-31,249356.0
2021-06-30,256522.0
2021-07-31,268368.0
2021-08-31,271948.0
2021-09-30,248186.0
2021-10-31,306906.0
2021-11-30,336898.0
2021-12-31,368511.0
